person_age,person_income,person_emp_length,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,emp_length_age_ratio,emp_length_cred_hist_ratio,income_emp_length_product,cred_hist_age_ratio,emp_start,interest_income_ratio,parent_dependency
21,9600,5.0,2,1000,11.14,0,0.1,0,2,0,1,0,1,0,0,0,0,0.23809523809523808,2.5,48000.0,0.09523809523809523,16.0,1.1604166666666667,0
25,9600,1.0,3,5500,12.87,1,0.57,0,3,0,0,0,0,0,1,0,0,0.04,0.3333333333333333,9600.0,0.12,24.0,7.3734375,0
23,65500,4.0,3,35000,15.23,1,0.53,0,2,0,0,1,0,0,1,0,0,0.17391304347826086,2.0,262000.0,0.08695652173913043,19.0,8.138167938931298,0
24,54400,8.0,3,35000,14.27,1,0.55,1,4,0,0,1,0,0,1,0,0,0.3333333333333333,2.0,435200.0,0.16666666666666666,16.0,9.181066176470589,0
21,9900,2.0,1,2500,7.14,1,0.25,0,2,0,1,0,0,0,0,0,1,0.09523809523809523,1.0,19800.0,0.09523809523809523,19.0,1.803030303030303,0
26,77100,8.0,2,35000,12.42,1,0.45,0,3,0,0,1,1,0,0,0,0,0.3076923076923077,2.6666666666666665,616800.0,0.11538461538461539,18.0,5.638132295719845,0
24,78956,5.0,2,35000,11.11,1,0.44,0,4,0,0,1,0,0,1,0,0,0.20833333333333334,1.25,394780.0,0.16666666666666666,19.0,4.9248948781599875,0
24,83000,8.0,1,35000,8.9,1,0.42,0,2,0,0,1,0,0,0,1,0,0.3333333333333333,4.0,664000.0,0.08333333333333333,16.0,3.753012048192771,0
21,10000,6.0,4,1600,14.74,1,0.16,0,3,0,1,0,0,0,0,0,1,0.2857142857142857,2.0,60000.0,0.14285714285714285,15.0,2.3584,0
22,85000,6.0,2,35000,10.37,1,0.41,0,4,0,0,1,0,0,0,0,1,0.2727272727272727,1.5,510000.0,0.18181818181818182,16.0,4.27,0
